ID,HashTags,Time,TweetText,Outputs,URL,User,Randomize
1,,2017-05-04 20:21:26,"A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . Terrible. ","A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . Terrible. ",https://twitter.com/i/web/status/860227893393272832,EmergencyDocs,7183
2,,2017-05-04 20:21:28,house republicans just wanted to make it clear that they hate the american people.,house republicans just wanted to make it clear that they hate the american people.,,ebencom,7098
3,"bisexual, lgbtnation",2017-05-04 20:21:29,House Republicans pass shameful Obamacare repeal     ,House Republicans pass shameful Obamacare repeal     ,http://bit.ly/2qwJNHR,comingoutoz,6951
4,"AHCA, townhall",2017-05-04 20:21:29,Angry at @RepAnnWagner's  vote? Come to a  &amp; share your views! @FwdTogetherSTL @IndivisibleTeam @Indivisible_STL @RISEUP63122 ,Angry at @RepAnnWagner's  vote? Come to a  &amp; share your views! @FwdTogetherSTL @IndivisibleTeam @Indivisible_STL @RISEUP63122 ,https://twitter.com/i/web/status/860227904260763648,1hippoallalone,6654
5,,2017-05-04 20:21:32,@RepJBridenstine you are evil ,@RepJBridenstine you are evil ,https://twitter.com/RVAwonk/status/860225726351634437,blissful1985,6917
6,,2017-05-04 20:21:36,"Death is freedom: Republicans pass Obamacare repeal bill: In a 217-213 vote in the House of Representatives, every…  ","Death is freedom: Republicans pass Obamacare repeal bill: In a 217-213 vote in the House of Representatives, every…  ",https://twitter.com/i/web/status/860227936397348864,mariatsmith,6928
7,"AHCA, SaveACA",2017-05-04 20:21:39,"If you live in the following states, your Congress representative flipped. Put them on notice     ","If you live in the following states, your Congress representative flipped. Put them on notice     ",https://twitter.com/i/web/status/860227947269115904,C_Muteba,6887
8,"Yoder, AHCA, LegislativeMalpractice",2017-05-04 20:21:41, voted for the  without seeing the CBO scoring (cost and effects) of Obamacare 'repeal and replace' bill. , voted for the  without seeing the CBO scoring (cost and effects) of Obamacare 'repeal and replace' bill. ,,WJ_Press,6943
9,,2017-05-04 20:21:45,"Oh, what a fun time reconciliation will be. Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating. ","Oh, what a fun time reconciliation will be. Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating. ",https://twitter.com/i/web/status/860227972334108672,phpress,6682
10,,2017-05-04 20:21:49,I remain struck by the diversity. There's the guy in the yellow suit. ,I remain struck by the diversity. There's the guy in the yellow suit. ,https://twitter.com/jonathanchait/status/860227365741395969,ErikLoomis,7077
11,,2017-05-04 20:21:55,Kudos to the 20 brave Republicans who faced down enormous pressure and followed their consciences and common sense against this travesty ,Kudos to the 20 brave Republicans who faced down enormous pressure and followed their consciences and common sense against this travesty ,https://twitter.com/i/web/status/860228015904641024,Sm4rtM0nk3y,7205
12,,2017-05-04 20:21:59,"those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement ","those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement ",https://twitter.com/i/web/status/860228030563848193,Hst3,7095
13,AHCA,2017-05-04 20:21:59,"Michigan congressman @RepJohnConyers on the , now on its way to the Senate. ","Michigan congressman @RepJohnConyers on the , now on its way to the Senate. ",,SaraSantiago,7126
14,,2017-05-04 20:22:00,"@amjoyshow Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  ","@amjoyshow Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  ",https://www.google.com/amp/s/www.washingtonpost.com/amphtml/powerpost/republicans-plan-health-care-vote-on-thursday-capping-weeks-of-fits-and-starts/2017/05/03/e7dd7c28-306d-11e7-9dec-764dc781686f_story.html,addison_dr,6756
15,AHCA,2017-05-04 20:22:01,All those politicians are so smug. They don't give any fucks that people will die.  ,All those politicians are so smug. They don't give any fucks that people will die.  ,,ScribeShelly,ID
16,ripgop,2017-05-04 20:22:02,"Yes, on to the Senate where this'll be D.O.A. Like your seats next elections.

 ","Yes, on to the Senate where this'll be D.O.A. Like your seats next elections.

 ",https://twitter.com/Reince45/status/860199218719404033,ha_bibti,7019
17,"AHCA, mildlynauseous",2017-05-04 20:22:05,@TheLastWord @Lawrence Does  cover an epidemic of  ?,@TheLastWord @Lawrence Does  cover an epidemic of  ?,,chenizot,6771
18,"AHCA, RacismIsReal, Obamacare",2017-05-04 20:22:06,Gross!!! Our nation is going backward ppl    saved me. My pinned tweet is no joke We must  ,Gross!!! Our nation is going backward ppl    saved me. My pinned tweet is no joke We must  ,https://twitter.com/i/web/status/860228061383581696,JamesRusso2d3d,7093
19,"ACHA, Obamacare",2017-05-04 20:22:07,Dear @GOP Please stop calling yourselves CHRISTIANS! Or PRO-LIFE. You are neither of these things.  ,Dear @GOP Please stop calling yourselves CHRISTIANS! Or PRO-LIFE. You are neither of these things.  ,,NabokovBlue,6715
