ID,#ofRts,HashTags,TweetText,Output,URL,User,Randomize
106,3566,"Eurovision, ROU",YUDELEDI-SHUT-THE-HELL-UP  ,YUDELEDI-SHUT-THE-HELL-UP  ,,mattismylife97,
152,3427,"Eurovision, AUS",YOURE NOT EVEN PART OF EUROPE GO AWAY AUSTRALIA      ,YOURE NOT EVEN PART OF EUROPE GO AWAY AUSTRALIA      ,,mattismylife97,
117,4315,"Eurovision, GBR",YOU'RE NOT EVEN PART OF EUROPE GET OFF THE STAGE UK  ,YOU'RE NOT EVEN PART OF EUROPE GET OFF THE STAGE UK  ,,mattismylife97,
1115,139,eurovision,you cannot lose if you don't know the rules  ,you cannot lose if you don't know the rules  ,,nievessvictoria,
92,210,"eurovision, BTSBBMAs","yoongi wearing this shirt is so beautiful 😍
  ","yoongi wearing this shirt is so beautiful 😍
  ",,tham_tae,
534,18,,"Yodeling might be worst thing Europe created after Hitler, Mussolini, Imperialism, Antisemitism, Thatcher, Blair &amp; Theresa May ","Yodeling might be worst thing Europe created after Hitler, Mussolini, Imperialism, Antisemitism, Thatcher, Blair &amp; Theresa May ",,thebaklav,
725,0,,Yet you were the same ones shitting on Jamala last year bc your fave typical pop premade aka Russia didn't win ,Yet you were the same ones shitting on Jamala last year bc your fave typical pop premade aka Russia didn't win ,https://twitter.com/ESCMona/status/863525928328192001,sleepndraw,
348,1,Eurovision,Yeah this  hasn't really been up to scratch. I blame the bore maximising semi-final selections. ,Yeah this  hasn't really been up to scratch. I blame the bore maximising semi-final selections. ,,jpjmarti,
744,433,eurovision,"ya'll are just being salty that talent won, appreciate salvador being happy for his sister  ","ya'll are just being salty that talent won, appreciate salvador being happy for his sister  ",,nievessvictoria,
202,166,"Israel, Eurovision, Netanyahu",WOW!  tv uses  to protest closing of tv station by  government.,WOW!  tv uses  to protest closing of tv station by  government.,,eric16_oates,
1108,0,,wow i didnt know kylo ren made a collab w daft punk ,wow i didnt know kylo ren made a collab w daft punk ,https://twitter.com/sharcoal/status/863490412509573120,darthturners,
674,3,"Eurovision, IBA",Worldwide coverage at  of Netanyahu's dictatorial closure of  ,Worldwide coverage at  of Netanyahu's dictatorial closure of  ,http://www.haaretz.com/israel-news/1.788280,DiChristine,
286,737,"ESC2017, Eurovision",Wishing @frankgabbani  all of the best for the @Eurovision  song contest final in Ukraine!  … ,Wishing @frankgabbani  all of the best for the @Eurovision  song contest final in Ukraine!  … ,,Maria33759436,
424,1309,"ESC2017, Eurovision",Winner of  Salvador Sobral has a message for his fans and everyone who voted for him … ,Winner of  Salvador Sobral has a message for his fans and everyone who voted for him … ,,ruedadeleonluis,
1303,1,"Eurovision2017, Eurovision","WINNER is Portugal!
Well done to @Dean0909 for winning the sweepstake!!

 ","WINNER is Portugal!
Well done to @Dean0909 for winning the sweepstake!!

 ",,Dean0909,
546,1,"IBA, Eurovision","Why this is the last time  represents Israel in 

 via @IrishTimesWorld","Why this is the last time  represents Israel in 

 via @IrishTimesWorld",http://www.irishtimes.com/news/world/middle-east/netanyahu-criticised-for-israel-broadcasting-authority-shutdown-1.3078506#.WReGPikaMxc.twitter,DiChristine,
455,188,Eurovision,why is Luhan representing Bulgaria  ,why is Luhan representing Bulgaria  ,,jypeach94,
938,0,Eurovision,"Why he's so dry?! 
BTW  this year was terrible 
EMRI we love you","Why he's so dry?! 
BTW  this year was terrible 
EMRI we love you",,gomex_mendes,
227,878,"Eurovision, ARM",WHY DOES THE BACKGROUND DANCER HAVE  0/10   ,WHY DOES THE BACKGROUND DANCER HAVE  0/10   ,http://MY.HAIR,mattismylife97,
873,94,Eurovision,White power gang performs for Sweden  ,White power gang performs for Sweden  ,,CashBama,
418,46,Eurovision,"Which country is serving it so far, kittens?! Catch  on @LogoTV on now! 🎶💃🎶 ","Which country is serving it so far, kittens?! Catch  on @LogoTV on now! 🎶💃🎶 ",,miggy_corona,
527,49,eurovision,where's the lie tho?  ,where's the lie tho?  ,,anacrusath,
411,1357,eurovision,when you're on the dark side of the Force but you still want to party  ,when you're on the dark side of the Force but you still want to party  ,,elknight20,
314,7173,"Eurovision, ITA",When you're Italian and singing at   ,When you're Italian and singing at   ,,oopsimright,
438,79,"BUL, Eurovision",When you realise the Bulgarian entry was born in the year 2000   ,When you realise the Bulgarian entry was born in the year 2000   ,,Tara_Vern,
172,2,Eurovision,"When you hear the takeaway at the door:

 ","When you hear the takeaway at the door:

 ",,ScarOnTheSky,
56,225,"Eurovision, ESC2017",when you give up a life of magic to chase your  dreams  ,when you give up a life of magic to chase your  dreams  ,,Charaosensei,
