ID	#ofRTs	HashTags	Date	TweetText		Url	User	Randomize
13	47	BadThings, WangoTango	2017-05-14 03:42:26	.@Camila_Cabello &amp; @machinegunkelly's song  is the JAM!   🎶		http://bit.ly/2qERaO6	Gracyela25	5402
5236	0		2017-05-14 04:06:13	This is terrifying 		https://twitter.com/emojimovie/status/863562740807344128	lucindangarcia	5401
1167	37	WangoTango, Camilizers, CamilaIsComing	2017-05-13 11:47:14	I'm so excited and I can't wait to see @Camila_Cabello later in  😊💘  … 			jhceline_7	5398
1590	2	WangoTango	2017-05-14 03:46:56	.@NiallOfficial @LiamPayne Liam e Niall no backstage do , em San Diego. (13/05) 😍 	Liam,San Diego		pandicorn_oned	5390
386	512	WangoTango	2017-05-14 01:53:54	Mic Check 1, 2!! We can't wait for @Camila_Cabello to hit the stage with @machinegunkelly!  			JhorellyM	5387
303	0	WangoTango, TheVoice, mileycyrus, mileyraycyrus, mileycyrus	2017-05-14 03:48:42	"Miley backstage  
.
.
.
   … "	Miley backstage…	https://www.instagram.com/p/BUDujegjN9V/	MileyWorld4Eva	5384
496	0		2017-05-14 03:49:32	Friendship goals 		https://twitter.com/OfficialWith1D/status/863582144773451776	louisroqueiro	5383
640	36	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 02:29:17	"Camila with @JoJoWright (via jojowright on Instagram)   
 "	Camila		garciacabello2	5379
615	0		2017-05-14 03:49:53	Votem no Niall, sweets! /yasmin 		https://twitter.com/PopPoIls/status/863599037387333633	portallouisbr	5377
5258	0	wangotango	2017-05-14 04:06:19	Enjoyed the live stream of @maroon5 at  tonight !! 😍💜😎🎶 ❤🎤🎸 		https://www.instagram.com/p/BUDwf1Fg8OXvdFn-_mG0bpy6LDDyLmLV9o3xlo0/	tracy1535	5350
5401	0	WangoTango	2017-05-14 04:06:46	Payno &amp; Nialler met @  😭			curlybrad29	5338
1306	61	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 00:29:35	"Camila on @1027KIISFM's snapchat.

   "	Camila		garciacabello2	5329
1847	0	M5OnWangoTango, WangoTango	2017-05-14 03:54:14	I love it when he closes his eyes to sing 😍 @maroon5   			katyloveM5	5295
157	183	WangoTango	2017-05-14 01:19:41	.@NiallOfficial fans! Tune in to our Snapchat / Instagram for some  fun! 			OnMyMindNjh	5292
404	361	WangoTango	2017-05-14 02:07:36	Camila and @machinegunkelly performing Bad Things on @ashlee_juno's Instagram story  			LalYazareth	5290
5248	0	WangoTango	2017-05-14 04:06:17	@Zedd ARE YOU PERFORMING THE SONG WITH LIAM TONIGHT 	LIAM		thekingdomroses	5286
30	92	WangoTango	2017-05-14 03:29:45	"Niall cantando ""On The Loose"" esta tarden en el ! "	On The Loose		America2372010	5284
4132	1	WangoTango	2017-05-14 01:37:51	Miley backstage at . 			chem_is_TRY__	5278
2873	8		2017-05-13 23:47:35	PROJECT WITNESS???)/€kdkdkdkd' BITCH WBZG THENESJDJDNX 		https://twitter.com/katyperrylately/status/863540569095774208	FreddyRMarte	5276
5210	0	WangoTango	2017-05-14 04:06:08	@NiallOfficial u rocked it 			Ashu_1DZ	5259
