343,trumprussia,"Zendesk Security Breach Affects Twitter , Tumblr and Pinterest :","zendesk,twitter,tumblr,pinterest",carter page,['fbi'],fbi,LisaMorrellRRT,"Twitter,Tumblr"
2301,,"Zendesk security breach affects Twitter , Tumblr , and Pinterest users : Customer service turned into customer ...","zendesk,twitter,tumblr,pinterest",,['gop'],"house,gop",88weighted,"Twitter,Tumblr"
1702,,Zendesk security breach .,zendesk,,['gop'],"house,gop",88weighted,
1310,,Zachary Scott Stone : Zach performs at the Bedford Farmers Market Sept 15th ... Proud of him !,"zachary scott stone,zach,bedford farmers market",,['gop'],"house,gop",88weighted,"Zachary Scott Stone,Bedford Farmers Market"
1754,,YWCA Family Village Issaquah wishes to thank to the ongoing support of and 4th annual Holiday Gift Barn provided ... https://t.co/osI3w8ZPDu,"ywca family village issaquah,holiday gift barn",,['gop'],"house,gop",88weighted,YWCA Family Village Issaquah
3503,,Yung tipong hirap na hirap na nga ko paniwalain mga nasa panaginip ko na may nakita akk tas ngayon maloloka nko pag gising ko,,,['gop'],"house,gop",88weighted,
1072,,yung pati yosi break mo may kasamang tweet #AlDubGameofDestiny,,,['gop'],"house,gop",88weighted,
2617,,Yung nasa lalagyan na may lock para di walain ng mga kapatid ko zz,,,['gop'],"house,gop",88weighted,
303,,Yung Mahal Ko May Mahal Na Yatang Iba . Okay Lamang Dun Sya Masaya . GoodNight,,,[],,Tam_Resist,"Yung Mahal Ko May Mahal Na Yatang Iba,Sya Masaya"
2489,,Your tweet is the winner of the March *Twitter* lotto for Southampton . @_In2action Get your winnings at @LottoU_K,southampton,,['gop'],"house,gop",88weighted,Southampton
1373,,Your tweet has won the March -Twitter- lotto for Swansea . @TehMrSkinner get your prize here @_UKLottery_,swansea,,['gop'],"house,gop",88weighted,Swansea
328,,Your mental clarity is razor sharp now as the brilliant Sun se ... More for Libra,libra,korean peninsula,['the korean peninsula'],korean peninsula,revanner,
3000,,Your mental clarity is razor sharp now as the brilliant Sun se ... More for Libra,libra,,['gop'],"house,gop",88weighted,
1964,,Your growing excitement over an innovative idea may cause you ... More for Virgo,virgo,,['gop'],"house,gop",88weighted,Virgo
2827,,Your growing excitement over an innovative idea may cause you ... More for Virgo,virgo,,['gop'],"house,gop",88weighted,Virgo
565,"AHCA, RacismIsReal, Obamacare","Your foggy brain may cloud your thinking today , but you can ma ... More for Gemini",gemini,,[],,JamesRusso2d3d,Gemini
2856,,"Your foggy brain may cloud your thinking today , but you can ma ... More for Gemini",gemini,,['gop'],"house,gop",88weighted,Gemini
424,,"Your efforts to make progress at home may be thwarted now , no ... More for Leo https://t.co/MwgDe5UB08",leo,"washington post,carter page","['the washington post', 'the washington post', 'carter page', 'trump', 'an advisor']","trump,washington post,carter page",GinoKusa,
3121,,Your brain may win out over your heart in an internal struggle ... More for Cancer,cancer,,['gop'],"house,gop",88weighted,
699,obamacare,You've likely seen the #TalkTalk web security breach . This is exactly why we put this free guide together : …,#talktalk,,[],,_GriffTheGreat_,
3563,,You're more contemplative now that the Sun and Mars are sparri ... More for Cancer,"mars,cancer",,['gop'],"house,gop",88weighted,Sun and Mars
943,"Ryancare, AHCA, sucker",You reserve the right to march to your own drummer now as you ... More for Pisces,pisces,,[],,TheRealOrchid,
2246,,You prefer to be in the company of others and may seek out col ... More for Leo https://t.co/cxBJlYZX4n,leo,,['gop'],"house,gop",88weighted,
2017,,You may wake up convinced that there won't be sufficient time ... More for Capricorn,capricorn,,['gop'],"house,gop",88weighted,
2751,,You may use our #NaturaSugars #SoftLightBrown or #Muscovado in this easy 4-3-2-1 Spice Rub #recipe https://t.co/QAfZgf5BCw,#naturasugars,,['gop'],"house,gop",88weighted,
3555,,"You may set off for an emotional journey now , even if you don'... More for Aries",aries,,['gop'],"house,gop",88weighted,
627,"preexistingconditions, AHCA","You may rush in and try to save the day , but you could end up ... More for Sagittarius",sagittarius,,"['illness', 'mental illness', 'rt']",,chasestrangio,
251,Trumprussia,"You may need to stand up to a powerful person today , even if y ... More for Cancer",cancer,,[],,Isilchaser,
1876,,You may need to confront an uncomfortable situation at work to ... More for Capricorn,capricorn,,['gop'],"house,gop",88weighted,
2711,,you may kiss the bride @Melon_Renee @Mocha_lm,,,['gop'],"house,gop",88weighted,
3397,,You may hold onto unexpressed ideas that are difficult to brin ... More for Gemini,gemini,,['gop'],"house,gop",88weighted,Gemini
2015,,You may have watched your plans fall apart in slow motion as c ... More for Aquarius,aquarius,,['gop'],"house,gop",88weighted,
470,,You may hate me but you still wear the clothes I brought you,,"trump,russia","['foreign policy advisor', 'russia', 'fbi']","fbi,russia",TheDragoEffect,
1155,,You may grow anxious from an endless stream of erratic and ecl ... More for Virgo https://t.co/dYwEMekTpi,virgo,,['gop'],"house,gop",88weighted,Virgo
1397,,"You may grow agitated as you strive for perfection , especially ... More for Scorpio",scorpio,,['gop'],"house,gop",88weighted,
2501,,You may feel slightly contentious today and are quick to squab ... More for Taurus,taurus,,['gop'],"house,gop",88weighted,Taurus
3628,,You may discover a few new interesting things to do with your ... More for Capricorn https://t.co/ZFQBLnvJg8,capricorn,,['gop'],"house,gop",88weighted,
3749,,You may believe that you can power your way through any obstac ... More for Taurus,taurus,,['gop'],"house,gop",88weighted,Taurus
1319,,You may be unnecessarily self-critical now because you want to ... More for Libra,libra,,['gop'],"house,gop",88weighted,
271,,"You may be struck with the lightning of awareness today , but y ... More for Leo",leo,"page,russia",['russia'],page,KnowYourObama,Leo
598,"democrats, Republican, Puritans, AHCA","You may be right , I may be crazy but it just may be a lunatic you're looking for .",,,[],,iloanya1,
1743,,You may be preoccupied with wanting to have fun today and will ... More for Virgo https://t.co/Cl523EtkKf,,,['gop'],"house,gop",88weighted,
2662,,You may be preoccupied with wanting to have fun today and will ... More for Virgo https://t.co/BRsUOFksF9,virgo,,['gop'],"house,gop",88weighted,
1672,,You may be overly concerned that you have taken a relationship ... More for Pisces,pisces,,['gop'],"house,gop",88weighted,
1039,,You may be offered an opportunity to conquer a tough challenge ... More for Capricorn,capricorn,,['gop'],"house,gop",88weighted,
