ID,#ofRts,HashTags,TweetText,output,URL,User,Randomize
1673,0,UFC211,Masvidal just came out to the scarface theme ,Masvidal just came out to the scarface theme ,,DerekBurnz,ID
1821,0,UFC211, if Maia wins this...whats the excuse for not giving him the title shot?, if Maia wins this...whats the excuse for not giving him the title shot?,,Eduardo66297020,2161
99,0,UFC211,LETTTSSSS GOOOOOO  ,LETTTSSSS GOOOOOO  ,,brycetriathlete,2160
1312,0,UFC211,Rodriguez moves away from Jackson Wink and suddenly all the gameplanning is gone along with the good corner advice. ,Rodriguez moves away from Jackson Wink and suddenly all the gameplanning is gone along with the good corner advice. ,,TomTalksMMA,2154
928,0,UFC211,If that was in vegas would they have stopped the fight ??? no ,If that was in vegas would they have stopped the fight ??? no ,,MMAGAME1,2152
421,328,"Reebok, UFC",Once this tweet with my   sweatshirt hits 250 RT the contest will begin.  I will custom sign for winner!… ,Once this tweet with my   sweatshirt hits 250 RT the contest will begin.  I will custom sign for winner!… ,,ActionFanboy,2151
1749,0,UFC211,i wanted to root for Maia in this fight until i heard his entrance music. ,i wanted to root for Maia in this fight until i heard his entrance music. ,,danield6,2147
518,2,ufc211,Respect to @panteraufc and @FrankieEdgar both guys are great fighters. ,Respect to @panteraufc and @FrankieEdgar both guys are great fighters. ,,burrell315,2142
732,1,UFC211,Way to go @JamesVickMMA! ,Way to go @JamesVickMMA! ,,JamesVickMMA,2139
481,1,,And that fight right there is why I desperately wanted to see Frankie Edgar go against Conor McGregor. Would have been great ,And that fight right there is why I desperately wanted to see Frankie Edgar go against Conor McGregor. Would have been great ,,EdSmith313,2137
231,0,"UFC211, UFCDallas",Regardless. Maia is a legend in this sport as well. He has so much experience and has been in the UFC for over 10 years!!! ,Regardless. Maia is a legend in this sport as well. He has so much experience and has been in the UFC for over 10 years!!! ,,DylanBagwell,2132
994,0,UFC211,"There is a lot going on in Jorge Masvidal's head. 

I wouldn't want to meet him in a field full of police, never mind a dark alley. ","There is a lot going on in Jorge Masvidal's head. 

I wouldn't want to meet him in a field full of police, never mind a dark alley. ",,TomSunderland_,2131
168,0,,Just hope Maia wins so he deservedly gets his shot at the title... ,Just hope Maia wins so he deservedly gets his shot at the title... ,https://twitter.com/MMAFighting/status/863593876119994369,shannon_ae,2127
1549,0,UFC211,"Before tonight's  main event, take one last look at who fellow ufc fighters are picking in stipemiocicufc… ","Before tonight's  main event, take one last look at who fellow ufc fighters are picking in stipemiocicufc… ",https://twitter.com/i/web/status/863594165577187328,MMAHWatch,2126
2062,1,ufc211,I'm making my grandmother watch  and her reactions are hysterical.,I'm making my grandmother watch  and her reactions are hysterical.,,Sam_Ah_Yo_Ah,2118
631,0,UFC211,Masvidal v Maia up next. This is going to be a great fight &amp; contrast of styles. ,Masvidal v Maia up next. This is going to be a great fight &amp; contrast of styles. ,,MarioMelrockero,2115
2049,0,UFC211,"I got Maia, he even comes out to my favourite song from high school. ","I got Maia, he even comes out to my favourite song from high school. ",,TomTalksMMA,2114
888,0,UFC211,Maia going to Carlos Condit this one ,Maia going to Carlos Condit this one ,,rickadan,2113
734,10,UFC211,.@JamesVickMMA is calling out the UFC for a promotion after his dominating performance at .  ,.@JamesVickMMA is calling out the UFC for a promotion after his dominating performance at .  ,http://snpy.tv/2pKceyo,beard_of_glory,2111
1078,0,UFC211,Still coming out to Numb. Makes me want him to win every time nendndmdnd ,Still coming out to Numb. Makes me want him to win every time nendndmdnd ,,NickiDupre,2110
