ID	#ofRts	HashTags	TweetText		URL	User	Randomize
1673	0	UFC211	Masvidal just came out to the scarface theme 			DerekBurnz	ID
1821	0	UFC211	 if Maia wins this...whats the excuse for not giving him the title shot?	Maia		Eduardo66297020	2161
99	0	UFC211	LETTTSSSS GOOOOOO  			brycetriathlete	2160
1312	0	UFC211	Rodriguez moves away from Jackson Wink and suddenly all the gameplanning is gone along with the good corner advice. 	Rodriguez,Jackson Wink		TomTalksMMA	2154
928	0	UFC211	If that was in vegas would they have stopped the fight ??? no 	vegas		MMAGAME1	2152
421	328	Reebok, UFC	Once this tweet with my   sweatshirt hits 250 RT the contest will begin.  I will custom sign for winner!… 			ActionFanboy	2151
1749	0	UFC211	i wanted to root for Maia in this fight until i heard his entrance music. 	Maia		danield6	2147
518	2	ufc211	Respect to @panteraufc and @FrankieEdgar both guys are great fighters. 			burrell315	2142
732	1	UFC211	Way to go @JamesVickMMA! 			JamesVickMMA	2139
481	1		And that fight right there is why I desperately wanted to see Frankie Edgar go against Conor McGregor. Would have been great 	Frankie Edgar,Conor McGregor		EdSmith313	2137
231	0	UFC211, UFCDallas	Regardless. Maia is a legend in this sport as well. He has so much experience and has been in the UFC for over 10 years!!! 	Maia,UFC		DylanBagwell	2132
994	0	UFC211	"There is a lot going on in Jorge Masvidal's head. 

I wouldn't want to meet him in a field full of police, never mind a dark alley. "	Jorge Masvidal		TomSunderland_	2131
168	0		Just hope Maia wins so he deservedly gets his shot at the title... 	Maia	https://twitter.com/MMAFighting/status/863593876119994369	shannon_ae	2127
1549	0	UFC211	Before tonight's  main event, take one last look at who fellow ufc fighters are picking in stipemiocicufc… 		https://twitter.com/i/web/status/863594165577187328	MMAHWatch	2126
2062	1	ufc211	I'm making my grandmother watch  and her reactions are hysterical.			Sam_Ah_Yo_Ah	2118
631	0	UFC211	Masvidal v Maia up next. This is going to be a great fight &amp; contrast of styles. 	Masvidal v Maia		MarioMelrockero	2115
2049	0	UFC211	I got Maia, he even comes out to my favourite song from high school. 	Maia		TomTalksMMA	2114
888	0	UFC211	Maia going to Carlos Condit this one 	Carlos Condit		rickadan	2113
734	10	UFC211	.@JamesVickMMA is calling out the UFC for a promotion after his dominating performance at .  	UFC	http://snpy.tv/2pKceyo	beard_of_glory	2111
1078	0	UFC211	Still coming out to Numb. Makes me want him to win every time nendndmdnd 	Numb		NickiDupre	2110
1034	0	UFC211	MMAFightingThat’s a very probable 10-8 for Edgar. Rodriguez is busted the hell up. Damn. Ground and pound all day. 	Edgar,Rodriguez		MMAHWatch	2109
1352	0	UFC211	I'd love to see Jorge destroy Maia. 	Jorge,Maia		SJD10304	2108
693	0		Dak is big time 		https://twitter.com/ufc/status/863573881608589312	mandwnation	2106
687	0	UFC211	@GamebredFighter coming out to the Scarface song is applaud worthy. 	the Scarface		_jordancamacho_	2102
1303	0	UFC211	Let's go Miah! 			MehulBear	2098
203	0	UFC211	💰💰 the Edgar fight put me way over the top but if I hit this next one hits 🙌🏽🤣🙏🏽💰💰💰🇧🇷 	Edgar		PushinWeight	2097
582	0	UFC211	And Maia is coming out to linkin park lol. Maia already lost this fight 	Maia		destroytyler	2096
1049	0	UFC211	Masvidal to do to Maia what Whittaker did to jacare? 🤔	Maia		Rickyaddison95	2095
861	0	UFC211	"@GamebredFighter v @demianmaia
Maybe the fight I am most looking forward to at
 "			Kai_Squared	2094
590	0	UFC211	Reminder than Demian Maia has absorbed just 13 significant strikes over his past four fights combined. Unprecedented. 	Demian Maia		MikeBohnMMA	2092
346	0	UFC211	Oh my.  (@allelbows) 			MMAFighting	2089
124	0	UFC211	Masivdal is one mean son of a b*tch. 			TFrenchOnline	2087
1170	0	UFC211	I think that @GamebredFighter takes this. This will be a striking affair. 			TheMMAMatthew	2086
1178	274	UFC211	RT if @joannamma defends again at  tonight! 🏆 			8Britt9	2080
1859	0	UFC211	Brazil just discovered Linkin Park 🤔	Brazil,Linkin Park		Bobby_Beats	2079
330	0	UFC211, JerseyStrong	Frankie is handling that BUSINESS  	Frankie		414Remy	2077
43	0	UFC211	@BrendanSchaub Got the same,surely a title shot for whoever wins this 			RyanBoulton1998	2075
1522	16	UFC211	Edgar raining down punches from top position with 30 seconds left in the first round 	Edgar		MrAmazingAustin	2071
1019	0	UFC211	MMAFightingWhat’s that noise? 			MMAHWatch	2069
1387	0	Levels, UFC211, UFC, MMA	@FrankieEdgar literally mopped the mat with @panteraufc for two rounds!    			ram_ilan	2068
696	0	ufc211, ufcdallas	@julesk_fighter loving this @demianmaia walkout music  			thomasjw	2066
1211	0	ufc211, jorgemasvidal, fighter, ufc, bjj, mma, nyc, happygirl	Hope he wins tonight!         @ Lower… 		https://www.instagram.com/p/BUDrOoxlnEs/	free_bunny86	2065
1891	0	UFC211	Can't believe we still got three scraps left. Two of them are title fights. Holy cow! What a night!!!  has delivered.			MMAjunkieGeorge	2064
952	5	UFC211	 results: Frankie Edgar def. Yair Rodriguez via TKO (doctor stoppage) - Round 2, 5:00 … 	Frankie Edgar,Yair Rodriguez via TKO		MariLovesMakeup	2062
576	0		Dammmmmmmmme 		https://twitter.com/MMAFighting/status/863594252378316800	A7medBenyousef	2060
1206	0	UFC211	Come on Maia!!! Please don't pull off a Jacare Souza. 	Maia,Jacare Souza		TabsterOPuppets	2052
1219	0	UFC211	@demianmaia here we go! 			jtbsoon2b	2050
1591	0	UFC211, zacbrownbandlive	Kendrick Lamar Damn! Bev Hills Cops Love Me    Bobby Ryan... 	Bev Hills Cops Love,Bobby Ryan	http://oscrape.com/p/208297, http://fb.me/2ZUjxzWc2	iam_dapeter	2049
1471	0	UFC211	Let's go Maia! I want to watch Masvidal tap 	Maia,Masvidal tap		riju_nayak	2046
1318	0	UFC211	I expect a great display of BJJ by Maia 	Maia		CityHunterKai	2045
1331	0	UFC211	Yair Rodriguez left eye swollen shut from Frankie Edgar's punishing strikes via elbows and jabs. 	Yair Rodriguez,Frankie Edgar		combatesmundial	2042
247	0	UFC211	Hope Maia wins but I can see a Masvidal KO hope I'm wrong 	Hope Maia,Masvidal KO		LomaIsGOAT	2040
323	24	UFC211	"This dude Jason Knight proves to be must see TV yet again. Seeks the finish non stop. ""Mississippi Mean"" indeed. "	Jason Knight,TV,Mississippi		lpkbookit	2039
2118	0	ufc211	Bruce Buffer looking like the plug in the 80s with that blazer 	Bruce Buffer		theckmjgroup	2036
520	59		Yair will be the champ one day. Out of ALL the 45ers in the world Frankie is his worst match up. Mishandling of a l… 	Yair,Frankie		ratchetm0ran	2031
1157	24	ufc211	Seeing Alvarez survive that exchange really puts @TheNotoriousMMA left hand into perspective. 	Alvarez		EJBarr3	2027
1041	0	UFC211	MMAFightingEdgar 10-9 in the second and 20-17 overall. He’s schooling the young buck right now. 			MMAHWatch	2026
1679	0	UFC211	"Fan Poll results as of writing this:
Maia - 68%
Masvidal - 32%
"	Maia		ChokeHoldMMA	2021
194	81	UFC211	And that's it! The fight has been stopped by ringside doctors. Frankie Edgar gets another big win 	Frankie Edgar		EAsXe	2017
1431	0	frankieedgar, UFC211	My God Rodriguez eye.... Ouch  	God Rodriguez		michellensteve	2014
1247	0	UFC211	This fight is basically UFC trying to put a hit out on Maia 	Maia		McJustTweeted	2013
901	0	UFC211, UFC, MMA	Maia has single leg of doom. Only been hit 14 times in last FOUR fights. Masvidal has nearly 80% takedown defense.   	Maia		AcostaIsLegend	2011
755	0	UFC211	" @ufc if @GamebredFighter gets taken down its over until itz standing the fight is on but he will be taken down 
@BloodyElbow"			anand316	2009
866	139	UFC211	Great card for @ufc  I'm going with Stipe, JJ, Maia, Edgar, Eddie - who you got? Gonna try stay up for this… 	Stipe,JJ,Maia,Edgar,Eddie		rynstien	2007
290	0	UFC211	Come on Maia. Let's put a stop to this clowns run. 			TurboTwist986	2004
541	0	UFC211	Maia all day, every day!  	Maia	https://twitter.com/mmafighting/status/863593876119994369	Other_Girl	2000
1003	0	UFC211	Masvidal came out to the theme from Scarface?! Ok that's quite legendary to be fair 😂👍🏻 	Scarface		JDaBuddah	1998
1690	0	UFC211, QandA	"So, @demianmaia has the 2nd most submission victories in UFC history. Who has the first?

"	UFC		UFC_AUSNZ	1997
1845	0	UFC211	Masvidal coming out to the scarface theme song 🔥 			Jon_Jitsu71	1996
517	0	UFC211, BestCardOfTheYear	"THIS. CARD. IS. 🔥🔥🔥🔥🔥🔥🔥

 "			eTHEgoddess	1995
964	0	ufc211	Have I ever mentioned I love Daniel Cormier? Great talent and heart. Great champion. Awesome commentator! @dc_mma @ufc 	Daniel Cormier		Llana	1993
1882	0		My god this is horrific! 😂😂😂 I LOVE it! 		https://twitter.com/999wwenetwork/status/863594202445344768	themarkysmark	1991
1777	0	UFC211	Maia going to choke him unconscious 			BobJohn52762159	1990
