RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
nan	No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.	No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.	Carter Page,Trump,Trump,Trump Tower	zi_cam	na
nan	"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
"	"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
"	FBI,Carter Page,Russia	sicsemp4ever	na
nan	Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.	Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.	Chris Hayes,Carter page	raponikoff	na
nan	It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.	It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.	Carter Page,James Bond	MsEntropy	na
FISA	c’mon carter Page	c’mon carter Page	carter Page	Class_of_78	na
nan	Get a clue carter page	Get a clue carter page	carter page	cjpfeiff	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page – Washington Post. So there was surveillance	FBI obtained FISA warrant to monitor former Trump adviser Carter Page – Washington Post. So there was surveillance	FBI,Trump,Carter Page,Washington Post	pignponyrfriend	na
nan	Why didnt FBI announce that investigation on Carter?	Why didnt FBI announce that investigation on Carter?	FBI,Carter	itsShonny	na
nan	"@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!
"	"@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!
"		GilesBgiles1974	na
nan	Well well well. Guess that Susan Rice nonsense can go away now. Still about the leak problem?	Well well well. Guess that Susan Rice nonsense can go away now. Still about the leak problem?	Susan Rice	em_div	na
nan	"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page 
"	"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page 
"	Trump,Carter Page	Bennythesnitch	na
nan	No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.  He's one of the most complicit.	No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.  He's one of the most complicit.	Carter Page,Trump,Trump,Trump Tower.He	mallsta	na
nan	@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!	@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!	Steele	EricJGilbert	na
nan	@chrislhayes Please ask Trump, why he chose Carter Page.  Who told him to hire him?	@chrislhayes Please ask Trump, why he chose Carter Page.  Who told him to hire him?	Trump,Carter Page	berserkbd	na
nan	Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill	Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill	FBI,Carter Page	ngunn7	na
deray	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey	FBI,Trump,Carter Page	GaryKGreen	na
