"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","inReplyToScreenName","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__videoVariants__bitrate","mediaEntities__videoVariants__contentType","mediaEntities__videoVariants__url","mediaEntities__start","mediaEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 7:23:56 PM","1055963269507223552","Video surfaces of pipe bomb suspect holding up anti-CNN sign at Trump rally in 2017 \n\n https://t.co/TycqS9OS5f","-1","-1","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/TycqS9OS5f","http://hill.cm/Sl4ibn3","hill.cm/Sl4ibn3","87","110","","","","","","","","","","","","","","","","","","","","","","","-1","241983890","Mike Walker","New_Narrative","On the road","Former acting SecArmy & deputy FEMA director narrative on analyzing threats, managing hazards, countering radicalization & developing leaders","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1548673665/megaphone-kid-cropped_normal.jpg","https://pbs.twimg.com/profile_images/1548673665/megaphone-kid-cropped_normal.jpg","False","","False","6994","022330","333333","0084B4","C0DFEC","A8C7F7","True","False","False","22","Jan 23, 2011 12:07:48 PM","92","-1","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png","https://pbs.twimg.com/profile_banners/241983890/1499189166","False","en","454470","False","False","False","514","False","-1"
"Oct 26, 2018 7:19:05 PM","1055962048977403905","Video surfaces of pipe bomb suspect holding up anti-CNN sign at Trump rally in 2017 https://t.co/TDyqZG9r5M https://t.co/ZVTroA9Mtc","-1","-1","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","False","-1","-1","False","False","38","","","","","","","","","","","","37","False","en","","","","","","https://t.co/TDyqZG9r5M","http://hill.cm/Sl4ibn3","hill.cm/Sl4ibn3","84","107","","","","1055962047412948992","https://t.co/ZVTroA9Mtc","http://pbs.twimg.com/media/DqeH4yxX0AAgmem.jpg","https://pbs.twimg.com/media/DqeH4yxX0AAgmem.jpg","https://twitter.com/thehill/status/1055962048977403905/photo/1","pic.twitter.com/ZVTroA9Mtc","0","150","150","101","photo","0","0","0","","","","108","131","-1","1917731","The Hill","thehill","Washington, DC","The Hill is the premier source for policy and political news. Follow for tweets on what's happening in Washington, breaking news and retweets of our reporters.","","","","","","http://t.co/t414UtTRv4","http://www.thehill.com","thehill.com","0","22","False","http://pbs.twimg.com/profile_images/907330975587336193/tw7JPE5v_normal.jpg","https://pbs.twimg.com/profile_images/907330975587336193/tw7JPE5v_normal.jpg","False","http://t.co/t414UtTRv4","False","3152082","9AE4E8","000000","FF0021","EBEBEB","ADADAA","True","False","False","937","Mar 22, 2007 2:15:18 PM","25","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/1917731/1434034905","True","en","492805","False","True","False","25142","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","512","288","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","512","288","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","512","288","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 7:15:36 PM","1055961170803220480","CNN digs up footage of mail bomb suspect at Trump rally in 2017 https://t.co/acyX0TMpgw","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/acyX0TMpgw","https://thehill.com/homenews/media/413415-cnn-digs-up-footage-of-mail-bomber-suspect-at-trump-rally-in-2017","thehill.com/homenews/media…","64","87","","","","","","","","","","","","","","","","","","","","","","","-1","502974485","Lydia🧜‍♀️🌊","EclecticLizzie","Arkansas ","I'm just a soul whose intentions are good. #Resist #FBR","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/950892561777901568/k4x-4nmX_normal.jpg","https://pbs.twimg.com/profile_images/950892561777901568/k4x-4nmX_normal.jpg","False","","False","11466","131516","333333","990094","EFEFEF","FFFFFF","True","False","False","10582","Feb 25, 2012 7:54:33 AM","69227","-1","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","https://pbs.twimg.com/profile_banners/502974485/1536509600","True","en","147330","False","False","False","63","False","-1"
"Oct 26, 2018 6:56:06 PM","1055956264130351104","Newly discovered footage shows Cesar Sayoc Jr., who allegedly mailed pipe bombs to CNN and top Democrats, attending… https://t.co/rZ6wSGVeKt","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/rZ6wSGVeKt","https://twitter.com/i/web/status/1055956264130351104","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","","","","-1","4634538081","Bacon'z Bitz","BaconzBitz1","Pennsylvania, USA","Web Page https://t.co/OnE4Yi7EpR Like on Facebook https://t.co/LaAGveAaYm   Add on Google Plus https://t.co/8WmHTY1fxL\nDonate https://t.co/FomLvU9cMZ","https://t.co/OnE4Yi7EpR","http://www.baconzbitz.net/","baconzbitz.net","9","32","https://t.co/OnE4Yipfhp","http://www.baconzbitz.net/","baconzbitz.net","0","23","False","http://pbs.twimg.com/profile_images/681532512066093056/evN8zxb__normal.jpg","https://pbs.twimg.com/profile_images/681532512066093056/evN8zxb__normal.jpg","False","https://t.co/OnE4Yipfhp","False","196","89C9FA","000000","9266CC","000000","000000","True","False","False","760","Dec 28, 2015 12:46:21 PM","0","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/4634538081/1451325430","False","en","50614","False","False","False","18","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/LaAGveAaYm","http://facebook.com/BaconsBitsOU812","facebook.com/BaconsBitsOU812","50","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/8WmHTY1fxL","https://plus.google.com/u/0/115517059478743490635","plus.google.com/u/0/1155170594…","95","118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/FomLvU9cMZ","http://www.baconzbitz.net/index.php/donation","baconzbitz.net/index.php/dona…","126","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
