"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","inReplyToScreenName","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__start","mediaEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 6:26:11 PM","1055948734603902976","#CrimeNews #TrumpNews #LegalNews: Forget the #RussiaProbe, forget #RobertMueller. The #TrumpFamily have another ser… https://t.co/ilCySNjtBU","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/ilCySNjtBU","https://twitter.com/i/web/status/1055948734603902976","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","CrimeNews","0","10","-1","328935014","Chimp News Network","TheCNNetwork","Parody Chimpanzee News","The hard hitting facts of #TwitterNews from a perspective that's about 99.5% human.","","","","","","http://t.co/JKywq8XBXt","http://tinyurl.com/CNNbananas","tinyurl.com/CNNbananas","0","22","False","http://pbs.twimg.com/profile_images/780612098690646016/T47DKRZh_normal.jpg","https://pbs.twimg.com/profile_images/780612098690646016/T47DKRZh_normal.jpg","False","http://t.co/JKywq8XBXt","False","218","FFFFFF","333333","DF0101","DDEEF6","C0DEED","True","False","False","454","Jul 4, 2011 4:50:20 AM","10","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/328935014/1450241989","True","en","1195","False","False","False","14","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TrumpNews","11","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LegalNews","22","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RussiaProbe","45","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RobertMueller","66","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TrumpFamily","86","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 3:36:15 PM","1055905970667376640","WTF? It's been done, duh, Bill Clinton. Trump doesn't do any work so he won't be missing a damn thing except tweeti… https://t.co/m0zU5y6jBO","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/m0zU5y6jBO","https://twitter.com/i/web/status/1055905970667376640","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","264800901","conchetta harris","chetta1234","Philadelphia, PA","Christian,mom, employee,Dog lover","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/911369519972614145/CsWiZNv1_normal.jpg","https://pbs.twimg.com/profile_images/911369519972614145/CsWiZNv1_normal.jpg","False","","False","74","000000","000000","FAB81E","000000","000000","False","False","False","98","Mar 12, 2011 8:47:00 AM","7116","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","en","5778","True","False","False","0","False","-1"
"Oct 26, 2018 2:25:07 PM","1055888067314229249","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/t5Na5JkHAG","-1","-1","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/t5Na5JkHAG","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","61535727","Brooklyn Law Sch Lib","BLSLibrary","Brooklyn, NY","Official Twitter Feed of the Brooklyn Law School Library","","","","","","http://t.co/f1D2YharKt","http://www.brooklaw.edu/library","brooklaw.edu/library","0","22","False","http://pbs.twimg.com/profile_images/606852929446936576/ReREQM8m_normal.jpg","https://pbs.twimg.com/profile_images/606852929446936576/ReREQM8m_normal.jpg","False","http://t.co/f1D2YharKt","False","5438","EBEBEB","333333","1D1D1D","F3F3F3","DFDFDF","True","False","False","897","Jul 30, 2009 12:52:02 PM","56","-1","http://abs.twimg.com/images/themes/theme7/bg.gif","https://abs.twimg.com/images/themes/theme7/bg.gif","https://pbs.twimg.com/profile_banners/61535727/1433519692","True","en","22888","True","False","False","290","False","-1"
"Oct 26, 2018 1:50:36 PM","1055879379497218049","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/P9egO2jxcG","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/P9egO2jxcG","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","87","110","","","","","","","","","","","","","","","","","","","","-1","24038144","Karen Parks","Mona_flame","Denver Colorado","Jewelry Designer Extraordinaire","","","","","","http://t.co/HwtokC8OHq","http://www.theflame3927.etsy.com","theflame3927.etsy.com","0","22","False","http://pbs.twimg.com/profile_images/392969910/parksworks_jewelry_040_normal.JPG","https://pbs.twimg.com/profile_images/392969910/parksworks_jewelry_040_normal.JPG","False","http://t.co/HwtokC8OHq","False","27","352726","3E4415","D02B55","99CC33","829D5E","True","False","False","91","Mar 12, 2009 5:09:52 PM","149","-1","http://abs.twimg.com/images/themes/theme5/bg.gif","https://abs.twimg.com/images/themes/theme5/bg.gif","","True","en","39896","False","False","False","5","False","-1"
"Oct 26, 2018 12:44:21 PM","1055862707721723906","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation - CNNPolitics https://t.co/3z7JIgeL1h","-1","-1","<a href=""https://www.smartnews.com/"" rel=""nofollow"">SmartNews | スマートニュース</a>","False","-1","-1","False","False","1","","","","","","","","","","","","1","False","en","","","","","","https://t.co/3z7JIgeL1h","https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html","cnn.com/2018/10/25/pol…","101","124","","","","","","","","","","","","","","","","","","","","-1","862435303881023488","impinkgirl","impinkestgirl","Feels like Mars, these days! ","#TheResistance \nRetired cat lovin' anti-tRumper.  Let's get that orange-faced misogynistic racist out of our White House.  (Pic is a fractal)  I try to FB.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/894049235615850496/NnyUD34P_normal.jpg","https://pbs.twimg.com/profile_images/894049235615850496/NnyUD34P_normal.jpg","False","","False","9537","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","9780","May 10, 2017 6:32:54 PM","111330","-1","","","https://pbs.twimg.com/profile_banners/862435303881023488/1501993892","False","en","54049","False","False","False","5","False","-1"
